,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,3yIDHN6g4ytVRAWR6mflkz,Bottoms Up,0,0.897,0.455,8,-4.729,1,0.0702,0.449,1.69e-05,0.0815,0.685,134.994
1,0enY7XMbYUYLl82cLtmIgX,マーブル,32,0.369,0.604,0,-5.097,1,0.029500000000000002,0.401,9.81e-06,0.11,0.302,84.425
2,3kzMcBgOeIzwNQW2VTJQcF,Isolation,45,0.709,0.381,10,-8.049,0,0.038400000000000004,0.858,0.593,0.112,0.26,139.765
3,2wvjGSWamFfhDgl2d04qBV,君じゃなきゃダメみたい,54,0.663,0.882,7,-3.382,1,0.0616,0.0187,0.0,0.131,0.894,130.986
4,7FpoD2ZlcBSj05rEHSZoiB,Who Knew,0,0.6910000000000001,0.749,9,-4.567,1,0.0274,0.00559,0.0,0.0762,0.47300000000000003,140.014
5,429NtPmr12aypzFH3FkN9l,Coffee,73,0.532,0.137,9,-18.208,1,0.0717,0.982,0.962,0.112,0.301,118.734
6,0i2nLzZOLedk2jfMcevegp,Fine On The Outside,41,0.51,0.117,7,-16.016,1,0.0438,0.995,0.9460000000000001,0.11,0.336,107.044
7,5uwUgGB3MdhjyAOQoHw7V2,Are You Lost,48,0.405,0.62,8,-13.46,1,0.154,0.20800000000000002,0.708,0.11,0.224,192.38
8,4hJ0xbo5ErSsZgrccu7h2v,Asphyxia - Piano Version,55,0.47000000000000003,0.151,5,-8.579,1,0.046400000000000004,0.875,0.0,0.122,0.362,184.016
9,3f3omU8n47Mqyab5nCaGyT,Because of You,71,0.583,0.584,5,-5.362,0,0.031400000000000004,0.254,0.0,0.123,0.136,140.039
10,5ygzSNhncw147jFU05utcM,애정결핍,39,0.73,0.398,7,-8.327,1,0.0285,0.341,0.0012000000000000001,0.242,0.372,115.94
11,51i5tIeSilbo4UaLKbyAyc,Kohaku,8,0.646,0.682,6,-5.731,1,0.0284,0.241,0.0,0.08660000000000001,0.544,101.017
12,19Y03MwqeQ6Bf4vqtebkI8,Kanashimi ni Makenai de,4,0.455,0.714,1,-5.601,1,0.027,0.25,0.000374,0.0848,0.602,179.819
13,5PzWVmfzu7rePAuFkxPQf0,Repeat Until Death,56,0.233,0.15,1,-11.736,1,0.033600000000000005,0.982,0.36,0.154,0.08750000000000001,143.887
14,2gug6MRv4xQFYi9LA3PJCS,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",66,0.439,0.47700000000000004,10,-5.638,1,0.0307,0.643,0.0,0.114,0.535,159.819
15,5byXSKd7QOHtVMOiptklBD,i swear i'll never leave again,65,0.5690000000000001,0.319,8,-12.85,1,0.027700000000000002,0.853,0.00015099999999999998,0.128,0.32,79.997
16,1QKgh2Wqbsww8KtmSBwaIf,Love Die Young,65,0.664,0.39,11,-8.802,1,0.114,0.658,0.0,0.09330000000000001,0.219,76.008
17,6f7BE3VcZScJx6n3wsf5Z3,I Like U,71,0.48,0.526,5,-7.099,1,0.275,0.07100000000000001,0.0,0.0879,0.374,199.662
18,22tEijyxz920RizPo8pMN2,rain drops - Full Spec Edition,25,0.516,0.917,8,-5.072,1,0.0541,0.105,0.0,0.257,0.51,130.005
19,3Jore2oSmdOgTOLTG0Bozo,JUDGEMENT-Shinpan- - Full Spec Edition,42,0.325,0.79,0,-3.616,0,0.0395,0.011300000000000001,0.0307,0.109,0.514,156.954
20,5tSE70eZAUF10eH9GBfKDl,故郷に錦を飾るべし - Full Spec Edition,26,0.588,0.792,6,-3.854,0,0.0373,0.459,0.0597,0.109,0.9,105.97
21,16tbhimnY12Ejeb43ZtpJx,さむらい音頭 - Full Spec Edition,31,0.594,0.9,10,-3.352,0,0.0702,0.297,0.0,0.0815,0.779,117.967
22,4xXu9UO2qdBotUOfqru2UC,Bakamitai - Taxi Driver Edition,68,0.519,0.5670000000000001,7,-7.914,1,0.025900000000000003,0.0506,0.46,0.378,0.281,73.988
23,1IFmX1oMmlI0Mru3OjozNE,意地桜 - Full Spec Edition,31,0.528,0.84,1,-4.047,1,0.0388,0.049,0.0782,0.254,0.6910000000000001,94.072
24,7bdRmM99BqfRGNo4NwSLCE,TONIGHT-restart from this night- - Full Spec Edition,35,0.612,0.779,10,-6.097,1,0.028300000000000002,0.192,0.000891,0.226,0.504,111.013
25,4ApblBEIwIAoiQCRrkjl7O,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",40,0.379,0.9590000000000001,4,-4.696,1,0.09870000000000001,8.35e-05,0.0018700000000000001,0.03,0.372,172.034
26,5CZNuQZszsDSa0VX7kpFsV,Escape From The City ...for City Escape,52,0.5730000000000001,0.9560000000000001,6,-4.629,0,0.08,9.3e-06,0.0,0.13,0.754,129.956
27,79ozNtJ4aqVaAav0bqXpji,Friday Night,53,0.588,0.978,1,-4.884,1,0.031100000000000003,0.0018100000000000002,0.0112,0.363,0.637,125.818
28,140e5u8qAM2IzhCyPqHfNG,Today is a diamond - Full Spec Edition,42,0.496,0.889,5,-4.213,1,0.0313,0.0114,7.31e-05,0.28200000000000003,0.886,141.54
29,0fQv8Ok7Zp0MRFD2kvKvHA,JUDGEMENT-審判 - Full Spec Edition,48,0.334,0.795,0,-3.622,0,0.0392,0.0114,0.031400000000000004,0.109,0.508,156.961
30,1JgJqBdDvPcOJ98dUHN537,24時間シンデレラ - Full Spec Edition,45,0.41000000000000003,0.867,6,-4.376,0,0.0492,0.027700000000000002,0.0,0.402,0.522,74.937
31,4toGhOrpjQfweDT9flB5iq,We'll Be Alright (Movie Edit),57,0.226,0.599,0,-6.8469999999999995,1,0.036500000000000005,0.326,8.81e-06,0.114,0.0653,95.328
32,56pvqFKGXPjubh5eY6sOlv,Is There Still Anything That Love Can Do?,61,0.536,0.403,9,-6.38,1,0.0335,0.362,0.0,0.292,0.246,141.551
33,0Q2eLJmspNc9jUAtOhotAe,74,34,0.59,0.738,7,-4.877,1,0.0708,0.684,0.0,0.14300000000000002,0.481,94.996
34,3jChEuctWSpanAsOwnjd3X,While You Were Away,38,0.608,0.421,4,-9.678,1,0.029400000000000003,0.928,0.759,0.164,0.20800000000000002,77.932
35,77bGNpC1hZH3JSZQhR1vxn,boy,45,0.73,0.387,7,-8.473,0,0.0606,0.6940000000000001,0.0,0.108,0.132,131.958
36,4UKsdKCTWVkr7Y5fmHtNid,look at me,54,0.523,0.54,6,-6.956,1,0.0304,0.652,5.31e-05,0.0981,0.153,66.103
37,3eHkFA3StDR9BU7EVrUFLs,WINE (Feat.Changmo) (Prod. SUGA),62,0.62,0.644,4,-2.713,0,0.044700000000000004,0.314,0.0,0.105,0.502,145.87
38,4e1Fkgr0liTavbc4ReUJF4,#mood,42,0.773,0.453,4,-6.053,1,0.056400000000000006,0.41300000000000003,0.0,0.17300000000000001,0.40700000000000003,118.001
39,3Rt7BjFHnJ4QxBGT897Vs2,BOKE,49,0.802,0.488,1,-5.523,0,0.0675,0.5690000000000001,1.55e-05,0.22,0.496,94.994
40,1hZ2dSvv2O6HQo6p3gDtVO,Syndrome,51,0.675,0.582,5,-5.84,0,0.0309,0.554,0.000815,0.0897,0.468,81.028
41,60bHRp4901AmCtPPPsytte,strangers,61,0.735,0.389,1,-12.291,1,0.354,0.687,3.25e-06,0.125,0.729,73.831
42,63eYNR1MOS2bvltGBtnFBo,Between,52,0.776,0.481,1,-7.179,1,0.0413,0.398,3.49e-06,0.161,0.5660000000000001,123.008
43,1HjZDqiaUrq46GHhHXE4vG,Get Your Wish,61,0.542,0.684,11,-5.844,1,0.050800000000000005,0.09970000000000001,0.0,0.125,0.442,95.004
